no_voucher,dpp,ppn,pph
058/SBM/TMN/13.01,20765454,2076545,622964
058/SBM/TMN/13.01,20765454,2076545,622964
058/SBM/TMN/13.01,20765454,2076545,622964
073/SBM/PRS/13.01,58125346,5812535,1162507
073/SBM/PRS/13.01,58125346,5812535,1162507
262/SBM/ME/12.03,1216850,121685,48674
297/SBM/ME/12.02,85909091,8590909,3436364
304/SBM/ME/12.02,7200000,720000,144000
081/SBM/ME/12.03,3181750,318175,63635
004/SBM/ME/13.01,28925000,2892500,578500
004/SBM/ME/13.02,26032500,2603250,520650
004/SBM/ME/13.02,26032500,2603250,520650
109/SBM/RMH/13.01,250524750,25052475,5010495
007/SPK/TMN/13.05,3600000,360000,144000
047/SPK/EST/13.03,67869520,6786952,2714781
254/SBM/RMH/12.06,39597002,3959700,791940
012/SBM/RMH/13.02,81407939,8140794,1628159
146/SBM/RMH/12.07,111179849,11117985,3335395
280/SBM/RMH/12.03,277584779,27758478,5551696
180/SBM/RMH/12.05,152857703,15285770,3057154
184/SBM/RMH/12.05,207842625,20784263,4156853
189/SBM/RMH/12.04,129359515,12935951,2587190
189/SBM/RMH/12.04,129359515,12935951,2587190
189/SBM/RMH/12.04,129359515,12935951,2587190
189/SBM/RMH/12.04,129359515,12935951,2587190
175/SBM/RMH/12.07,16592700,1659270,331854
135/SBM/RMH/12.07,51218381,5121838,1024368
135/SBM/RMH/12.07,51218381,5121838,1024368
135/SBM/RMH/12.07,51218381,5121838,1024368
123/SBM/PRS/13.01,17952000,0,718080
284/SBM/RMH/12.04,72628806,7262881,2905152
300/SBM/RMH/12.02,48883484,4888348,1955339
107/SBM/PRS/13.01,12350000,0,494000
223/SBM/RMH/12.04,129145736,12914574,5165829
100/SBM/RMH/13.01,107310495,10731049,3219315
111/SBM/RMH/13.01,91738636,9173864,1834773
044/SBM/RMH/13.02,16292342,1629234,325847
105/SBM/RMH/13.01,268155000,26815500,8044650
104/SBM/RMH/13.01,70357500,7035750,2110725
034/SBM/RMH/13.02,373368314,37336831,7467366
067/SBM/RMH/13.01,21150000,2115000,423000
229/SBM/RMH/12.05,36801715,3680171,736034
229/SBM/RMH/12.05,36801715,3680171,736034
082/SBM/RMH/13.01,40267500,4026750,805350
296/SBM/RMH/12.03,160074136,16007414,3201483
299/SBM/RMH/12.03,287377022,28737702,11495081
036/SBM/RMH/13.03,88805396,8880540,2664162
035/SBM/RMH/13.03,223880555,22388056,6716417
055/SPK/EST/13.03,45475000,4547500,909500
125/SBM/PRS/13.01,176399000,17639900,3527980
200/SBM/PRS/12.02,931818182,93181818,0
200/SBM/PRS/12.02,931818182,93181818,0
054/SBM/RMH/13.01,44814353,4481435,1344431
054/SBM/RMH/13.02,49074704,4907470,1472241
054/SBM/RMH/13.03,36670091,3667009,1100103
032/SBM/PROM/13.02,245250000,24525000,4905000
334/SBM/RMH/12.01,703195366,70319537,14063907
334/SBM/RMH/12.01,703195366,70319537,14063907
022/SBM/RMH/13.02,76131097,7613110,1522622
040/SPK/EST/13.01,7524000,752400,300960
027/SPK/EST/CG/13.01,18136364,1813636,725455
027/SPK/EST/CG/13.01,18136364,1813636,725455
069/SPK/EST/13.01,13623000,1362300,544920
069/SPK/EST/13.01,13623000,1362300,544920
238/SBM/RMH/12.05,236282054,23628205,4725641
128/SPK/EST/13.01,16822916,0,504687
320/SBM/RMH/12.04,48059710,4805971,961194
043/SPK/EST/CG/13.01,9500000,950000,380000
073/SBM/PRS/13.02,58125346,5812535,1162507
073/SBM/PRS/13.02,58125346,5812535,1162507
073/SBM/PRS/13.02,58125346,5812535,1162507
073/SBM/PRS/13.02,58125346,5812535,1162507
025/SPK/EST/13.03,699896,0,27996
228/SBM/RMH/12.4,228059143,22805914,9122366
279/SBM/RUKO/12.03,376400125,37640012,7528002
081/SBM/PRS/13.01,23750000,0,950000
081/SBM/PRS/13.01,23750000,0,950000
132/SBM/RMH/13.01,300000000,30000000,6000000
147/SBM/RMH/12.06,317751801,31775180,6355036
270/SBM/RMH/12.05,93764042,9376404,1875281
031/SPK/EST/12.02,32298182,3229818,645964
031/SPK/EST/12.02,32298182,3229818,645964
031/SPK/EST/12.02,32298182,3229818,645964
062/SBM/PRS/12.02,2409091,240909,48182
084/SPK/EST/13.01,7011000,0,175275
251/SBM/PRS/12.03,950000,95000,19000
101/SBM/PRS/13.01,9725625,972562,194512
127/SBM/RMH/13.01,75397150,7539715,1507943
091/SBM/KSL/13.01,10220000,0,255500
062/SBM/RMH/13.02,80671626,8067163,2420149
075/SBM/RMH/13.2,34680839,3468084,1040425
235/SBM/ME/12.01,13775000,1377500,275500
236/SBM/ME/12.01,13775000,1377500,275500
114/SPK/EST/13.01,21375000,0,641250
331/SPK/EST/12.01,46021500,4602150,920430
331/SPK/EST/12.02,41419350,4141935,828387
331/SPK/EST/12.02,41419350,4141935,828387
133/SBM/RMH/13.01,35770165,3577016,1073105
233/SBM/RMH/12.06,59127270,5912727,1773818
060/SBM/PRS/12.06,6998603,699860,139972
060/SBM/PRS/12.06,6998603,699860,139972
072/SBM/KSL/13.02,100000000,10000000,6000000
061/SBM/PRS/13.01,170038182,17003818,3400764
061/SBM/PRS/13.02,297566818,29756682,5951336
313/SBM/PRS/13.01,31639750,3163975,632795
313/SBM/PRS/13.01,31639750,3163975,632795
326/SPK/EST/12.01,83174500,8317450,1663490
326/SPK/EST/12.02,74857050,7485705,1497141
326/SPK/EST/12.02,74857050,7485705,1497141
048/SBM/RMH/13.02,25119744,2511974,502395
111/SBM/RMH/13.02,163906364,16390636,3278127
047/SPK/EST/13.04,66240652,6624065,2649626
047/SPK/EST/13.04,66240652,6624065,2649626
007/SPK/TMN/13.06,3600000,360000,144000
082/SBM/RMH/13.02,58555656,5855566,1171113
131/SBM/RMH/12.06,90844841,9084484,1816897
164/SBM/RMH/12.05,217963186,21796319,4359264
164/SBM/RMH/12.05,217963186,21796319,4359264
141/SPK/EST/12.02,22050000,0,661500
095/SBM/TMN/13.01,98181818,9818182,1963636
299/SBM/RMH/12.04,204255626,20425563,8170225
333/SBM/RMH/12.02,494740364,49474036,19789615
022/SBM/RMH/13.03,83784508,8378451,1675690
126/SBM/RMH/13.01,54464400,5446440,1089288
100/SBM/RMH/13.02,66811514,6681151,2004345
273/SBM/KSL/13.01,33000000,0,825000
035/SBM/KSL/13.01,5500000,0,137500
139/SBM/KSL/12.01,5000000,0,125000
035/SBM/RMH/13.04,137257399,13725740,4117722
054/SBM/RMH/13.04,29915074,2991507,897452
036/SBM/RMH/13.04,82280918,8228092,2468428
233/SBM/RMH/12.07,41153924,4115392,1234618
016/SBM/RMH/13.02,57277940,5727794,1145559
330/SBM/12.04,23219116,2321912,464382
325/SBM/RMH/12.03,38259927,3825993,765199
325/SBM/RMH/12.03,38259927,3825993,765199
095/SBM/RMH/12.05,44182000,4418200,883640
095/SBM/RMH/12.05,44182000,4418200,883640
221/SBM/RMH/12.06,187882562,18788256,3757651
120/SBM/PRS/13.01,4085000,0,122550
