project_id,no_spk,no_bap,no,date,termyn,job_percent,payment_percent,nilai,retensi
3,044/SBM/1/36.26.1/II/12,BAP 13-0114,IL.001/K-044/12,2013-02-08,2,37,37,-9528550,-476428
3,044/SBM/1/36.26.1/II/12,BAP 13-0114,IL.004/K-044/12,2013-02-21,2,37,37,-10044971,-502249
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,064/SBM/1/36.26.1/III/12,2012-05-19,3,41,41,546292586,27314629
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,IL.001/K-064/12,2013-01-09,0,0,15,-1452000,0
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,IL.001/K-064/12,2013-01-09,1,58,43,-4114000,-278300
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,IL.001/K-064/12,2013-02-09,2,31,31,-2989184,-149459
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,IL.003/K-064/12,2013-02-12,0,0,15,-9477409,0
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,IL.003/K-064/12,2013-02-12,1,43,28,-17901773,-1368959
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,IL.003/K-064/12,2013-02-12,2,28,28,-17901667,-894983
3,064/SBM/1/36.26.1/III/12,BAP 13-0115,IL.003/K-064/12,2013-02-12,3,17,17,-10564152,-528208
3,228/SBM/1/5.26.1/IX/12,BAP 13-0116,228/SBM/1/5.26.1/IX/12,2012-09-21,1,38,23,197246406,16336491
3,239/SBM/1/38.12.5/X/12,BAP 13-0117,239/SBM/1/38.12.5/X/12,2012-10-03,1,35,30,257715300,0
3,239/SBM/1/38.12.5/X/12,BAP 13-0117,239/SBM/1/38.12.5/X/12,2012-11-03,2,35,30,257715300,0
3,166/SBM/1/38.26.1/VII/12,BAP 13-0118,166/SBM/1/38.26.1/VII/12,2012-09-10,3,10,10,177312772,8865639
3,245/SBM/1/38.26.1/X/12,BAP 13-0120,245/SBM/1/38.26.1/X/12,2012-11-10,2,34,34,190638288,9531914
3,012/SBM/1/26.26.1/I/13,BAP 13-0121,012/SBM/1/26.26.1/I/13,2013-01-21,0,0,15,54464400,0
3,022/SBM/1/35.26.1/II/13,BAP 13-0122,022/SBM/1/35.26.1/II/13,2013-02-05,0,0,15,117383610,0
3,210/SBM/1/36.12.5/IX/12,BAP 13-0123,210/SBM/1/36.12.5/IX/12,2012-09-12,1,55,50,12500000,0
3,210/SBM/1/36.12.5/IX/12,BAP 13-0123,210/SBM/1/36.12.5/IX/12,2012-10-12,2,45,40,10000000,0
3,222/SBM/1/30.26.1/IX/12,BAP 13-0124,222/SBM/1/30.26.1/IX/12,2012-10-20,2,15,15,105597200,5279860
3,127/SBM/1/5.12.5/VI/12,BAP 13-0125,127/SBM/1/5.12.5/VI/12,2012-09-03,2,0,10,1095000,0
3,274/SBM/1/19.7.6/XI/12,BAP 13-0126,274/SBM/1/19.7.6/XI/12,2012-11-06,1,100,95,18050000,0
3,024/SPK/EST/CG/II/13,BAP 13-0127,024/SPK/EST/CG/II/13,2013-02-12,0,0,30,19885200,0
3,323/SBM/1/38.24.4/XII/12,BAP 13-0128,323/SBM/1/38.24.4/XII/12,2012-12-14,0,0,50,27272728,0
3,238/SBM/1/26.26.1/X/12,BAP 13-0129,238/SBM/1/26.26.1/X/12,2012-11-03,2,15,15,186795936,9339797
3,221/SBM/1/35.26.1/IX/12,BAP 13-0130,221/SBM/1/35.26.1/IX/12,2012-11-20,3,15,15,153787156,7689358
3,024/SBM/1/35.26.1/II/12,BAP 13-0131,024/SBM/1/35.26.1/II/12,2012-05-26,2,0,5,2267509,0
3,234/SBM/1/36.7.6/X/12,BAP 13-0132,234/SBM/1/36.7.6/X/12,2012-10-04,1,35,30,114789600,0
3,234/SBM/1/36.7.6/X/12,BAP 13-0132,234/SBM/1/36.7.6/X/12,2012-11-04,2,35,30,114789600,0
3,234/SBM/1/36.7.6/X/12,BAP 13-0132,234/SBM/1/36.7.6/X/12,2012-12-04,3,30,5,19131600,0
3,279/SBM/1/27.26.2/XI/12,BAP 13-0133,279/SBM/1/27.26.2/XI/12,2012-11-12,0,0,15,283277400,0
3,279/SBM/1/27.26.2/XI/12,BAP 13-0133,279/SBM/1/27.26.2/XI/12,2012-11-12,1,42,27,510277023,39677721
3,305/SBM/1/38.26.1/XI/12,BAP 13-0135,305/SBM/1/38.26.1/XI/12,2012-11-27,1,34,19,119703562,10720287
3,262/SBM/1/19.6.6/X/12,BAP 13-0136,262/SBM/1/19.6.6/X/12,2012-10-19,1,100,45,10951650,0
3,197/SBM/1/36.26.1/VIII/12,BAP 13-0137,197/SBM/1/36.26.1/VIII/12,2012-11-16,4,49,49,109029166,5451458
3,167/SBM/1/36.26.1/VII/12,BAP 13-0138,167/SBM/1/36.26.1/VII/12,2012-11-30,5,8,8,35363200,1768160
3,146/SBM/1/36.26.1/VII/12,BAP 13-0139,146/SBM/1/36.26.1/VII/12,2012-10-06,4,15,15,153766840,7688342
