project_id,no_spk,no_bap,date,termyn,job_percent,payment_percent,nilai,retensi
61,049/PGM/MKT/PROM/XI/17,BAP 17-0146,2017-12-23,2,50,50,126000000,0
61,020/PGM/1/1.1.4/IX/17,BAP 17-0147,2017-09-18,1,27,12,47840130,5359757
61,018/PGM/MKT/PROM/III/17,BAP 17-0148,2017-04-03,1,100,45,22500000,0
61,018/PGM/MKT/PROM/III/17,BAP 17-0148,2017-07-05,2,0,5,2500000,0
61,037/PGM/1/7.26.1/IX/17,BAP 17-0149,2017-09-22,1,27,12,594205248,66941168
61,041/PGM/1/7.4.4/IX/17,BAP 18-0002,2017-10-09,1,26,11,1019441700,117864585
61,047/PGM/MKT/PROM/XI/17,BAP 18-0003,2017-12-20,2,50,50,750000000,0
61,050/PGM/1/1.12.5/XII/17,BAP 18-0004,2018-01-04,1,100,100,31383000,3138300
61,051/PGM/1/1.12.5/XI/17,BAP 18-0005,2018-01-04,1,100,100,23659000,2365900
61,038/PGM/1/7.26.1/IX/17,BAP 18-0007,2017-10-25,2,12,12,328473763,16423688
61,039/PGM/1/7.26.1/IX/17,BAP 18-0009,2017-10-26,2,22,22,670248010,33512401
61,003/PGM/1/1.1.8/I/18,BAP 18-0010,2018-01-15,0,0,50,14500000,0
61,037/PGM/1/7.26.1/IX/17,BAP 18-0011,2017-10-22,2,21,21,1046436644,52321832
61,035/PGM/1/1.2.4/VIII/17,BAP 18-0012,2017-12-06,4,5,5,107489280,5374464
61,035/PGM/1/1.2.4/VIII/17,BAP 18-0012,2018-01-06,5,5,5,107489280,5374464
61,054/PGM/1/1.12.5/XII/17,BAP 18-0013,2018-01-05,1,17,17,9900000,0
61,005/PGM/MKT/PROM/II/18,BAP 18-0014,2018-02-08,0,0,50,30000000,0
61,005/PGM/MKT/PROM/II/18,BAP 18-0014,2018-02-13,100,0,50,30000000,0
61,001/PGM/1/1.13.4/I/18,BAP 18-0015,2018-01-11,1,100,95,58881000,0
61,020/PGM/1/1.1.4/IX/17,BAP 18-0016,2017-10-18,2,37,37,146250720,7312536
61,052/PGM/1/1.11.4/XII/17,BAP 18-0017,2017-12-19,0,0,40,14560000,0
61,052/PGM/1/1.11.4/XII/17,BAP 18-0017,2017-12-22,1,100,55,20020000,0
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2017-12-28,0,0,15,15780000,0
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2017-12-28,0,0,15,123975,0
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-02-26,1,32,17,17884000,1683200
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-02-26,1,32,17,140505,13224
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-03-26,2,17,17,17884000,894200
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-03-26,2,17,17,140505,7025
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-04-26,3,17,17,17884000,894200
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-04-26,3,17,17,140505,7025
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-05-26,4,17,17,17884000,894200
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-05-26,4,17,17,140505,7025
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-06-26,5,17,17,17884000,894200
61,055/PGM/1/1.4.5/XII/17,BAP 18-0019,2018-06-26,5,17,17,140505,7025
61,053/PGM/1/1.12.5/XII/17,BAP 18-0020,2018-01-24,1,17,17,18502000,0
