no_bap,no_voucher,date,spk
BAP 18-0050,051-18-02,2018-08-09,051/ME/66.CC.0/V/2018
BAP 18-0051,058-18-01,2018-08-09,058/ME/66.DC.10/VII/2018
BAP 18-0052,029-18-02,2018-08-16,029/ME/62.CC.0/IV/2018
BAP 18-0053,040-18-02,2018-08-16,040/ME/62.CC.0/V/2018
BAP 18-0054,071-18-01,2018-07-27,071/ME/66.CC.0/VII/2018
BAP 18-0055,052-18-02,2018-08-16,052/ME/66.CC.0/V/2018
BAP 18-0056,053-18-02,2018-08-16,053/ME/66.CC.0/V/2018
BAP 18-0057,049-18-02,2018-08-16,049/ME/66.CC.0/V/2018
BAP 18-0058,013-18-03,2018-08-16,013/ME/62.DC.9/II/2018
BAP 18-0059,047-18-02,2018-08-16,047/ME/66.CC.0/V/2018
BAP 18-0060,048-18-03,2018-08-16,048/ME/66.CC.0/V/2018
BAP 18-0061,067-18-01,2018-08-23,067/ME/66.CC.0/VII/2018
BAP 18-0062,068-18-01,2018-08-21,068/ME/66.CC.0/VII/2018
BAP 18-0063,066-18-01,2018-07-27,066/ME/62.CC.0/VII/2018
BAP 18-0064,033-18-05,2018-12-11,033/ME/66.CC.0/IV/2018
BAP 18-0065,069-18-01,2018-07-27,069/ME/66.CC.0/VII/2018
BAP 18-0066,034-18-05,2018-08-23,034/ME/66.CC.0/IV/2018
BAP 18-0067,035-18-04,2018-08-23,035/ME/66.CC.0/IV/2018
BAP 18-0068,072-18-01,2018-08-28,072/ME/2.DC.9/VII/2018
BAP 18-0069,057-18-02,2018-08-28,057/ME/62.CC.0/VI/2018
BAP 18-0070,030-18-04,2018-08-30,030/ME/62.CC.0/IV/2018
BAP 18-0071,039-18-03,2018-08-30,039/ME/62.CC.0/V/2018
BAP 18-0072,070-18-01,2018-08-31,070/ME/66.CC.0/VII/2018
BAP 18-0073,046-18-02,2018-09-04,046/ME/69.DC.4/V/2018
BAP 18-0074,026-18-01,2018-09-06,026/ME/62.CC.0/III/2018
BAP 18-0075,021-18-01,2018-09-06,021/ME/62.CC.0/III/2018
BAP 18-0076,067-18-02,2018-09-06,067/ME/66.CC.0/VII/2018
BAP 18-0077,068-18-02,2018-09-06,068/ME/66.CC.0/VII/2018
BAP 18-0078,038-18-02,2018-09-06,038/ME/62.CC.0/V/2018
BAP 18-0079,040-18-03,2018-09-06,040/ME/62.CC.0/V/2018
BAP 18-0080,029-18-03,2018-09-06,029/ME/62.CC.0/IV/2018
BAP 18-0081,014-18-02,2018-09-06,014/ME/62.DC.10/III/2018
BAP 18-0082,062-18-01,2018-09-06,062/ME/62.DC.9/VII/2018
BAP 18-0084,050-18-03,2018-09-13,050/ME/66.CC.0/V/2018
BAP 18-0085,051-18-03,2018-09-13,051/ME/66.CC.0/V/2018
BAP 18-0086,052-18-03,2018-09-13,052/ME/66.CC.0/V/2018
BAP 18-0087,053-18-03,2018-09-13,053/ME/66.CC.0/V/2018
BAP 18-0088,059-18-02,2018-07-02,059/ME/69.DC.1/VII/2018
BAP 18-0089,070-18-02,2018-09-18,070/ME/66.CC.0/VII/2018
BAP 18-0090,074-18-01,2018-09-18,074/ME/66.DC.3/VIII/2018
BAP 18-0091,026-18-02,2018-09-20,026/ME/62.CC.0/III/2018
BAP 18-0092,021-18-02,2018-09-20,021/ME/62.CC.0/III/2018
BAP 18-0093,047-18-03,2018-09-20,047/ME/66.CC.0/V/2018
BAP 18-0094,048-18-04,2018-09-20,048/ME/66.CC.0/V/2018
BAP 18-0095,030-18-05,2018-09-20,030/ME/62.CC.0/IV/2018
BAP 18-0096,039-18-04,2018-09-20,039/ME/62.CC.0/V/2018
BAP 18-0097,068-18-03,2018-09-20,068/ME/66.CC.0/VII/2018
BAP 18-0098,067-18-03,2018-09-20,067/ME/66.CC.0/VII/2018
BAP 18-0099,064-18-01,2018-09-21,064/ME/2.DC.10/VII/2018
BAP 18-0100,073-18-01,2018-09-21,073/ME/2.DC.10/VIII/2018
BAP 18-0101,071-18-02,2018-09-20,071/ME/66.CC.0/VII/2018
